;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Retentive, Address, System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###002 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!

;Folders Section (Must define folders before tags)
"F","MCC18_U108_MA2G_MTR",,"F"
"F","MCC18_U109_MA2C_MTR",,"F"
"F","MCC18_U101_MA4E_MTR",,"F"
"F","MCC18_U103_MA4C_MTR",,"F"
"F","MCC18_U105_MA5C_MTR",,"F"
"F","MCC18_U106_MA5A_MTR",,"F"
"F","MCC18_U112_MA4L_MTR",,"F"
"F","MCC18_U107_MA5J_MTR",,"F"
"F","MCC18_U104_MA2E_MTR",,"F"
"F","MCC18_U151_MA1C_MTR",,"F"
"F","MCC18_U153_MA1E_MTR",,"F"
"F","MCC18_U154_MA1G_MTR",,"F"
"F","MCC18_U152_MA1J_MTR",,"F"
"F","MCC18_U155_MA1L_MTR",,"F"
"F","MCC18_U156_MA2A_MTR",,"F"
"F","MCC18_U131_MA2L_MTR",,"F"
"F","MCC18_U133_MA2J_MTR",,"F"
"F","MCC18_U134_MA3H_MTR",,"F"
"F","MCC18_U132_MA3F_MTR",,"F"
"F","MCC18_U135_MA4A_MTR",,"F"
"F","MCC18_U136_MA3K_MTR",,"F"
"F","MCC19_U172_MA101_MTR",,"F"
"F","MCC19_U171_MA102_MTR",,"F"
"F","MCC19_U181_MA111_MTR",,"F"
"F","MCC19_U182_MA112_MTR",,"F"
"F","MCC20_U161_MA121_MTR",,"F"

;Tag Section
"S","MCC18_U108_MA2G_MTR\EU","Engineering Unit","F","M","*","F",,,,,,,,,,,,,82,na,0,
"S","MCC18_U108_MA2G_MTR\PLC","PLC name","F","M","*","F",,,,,,,,,,,,,82,"PLC3",0,
"S","MCC18_U108_MA2G_MTR\TagAddress","PLC IO address","F","M","*","F",,,,,,,,,,,,,82,"IP:10.226.223.38",0,
"S","MCC18_U108_MA2G_MTR\TagComment","TAG description","F","M","*","F",,,,,,,,,,,,,82,"Acelli Trim Cutter North - Motor",0,
"S","MCC18_U108_MA2G_MTR\Area","Area","F","M","*","F",,,,,,,,,,,,,82,"Utilities - Acelli Area",0,
"S","MCC18_U108_MA2G_MTR\TagName","TAG name","F","M","*","F",,,,,,,,,,,,2,82,"+MCC18=U108-MA2G",0,0
"S","MCC18_U109_MA2C_MTR\EU","Engineering Unit","F","M","*","F",,,,,,,,,,,,,82,na,0,
"S","MCC18_U109_MA2C_MTR\PLC","PLC name","F","M","*","F",,,,,,,,,,,,,82,"PLC3",0,
"S","MCC18_U109_MA2C_MTR\TagAddress","PLC IO address","F","M","*","F",,,,,,,,,,,,,82,"IP:10.226.223.36",0,
"S","MCC18_U109_MA2C_MTR\TagComment","TAG description","F","M","*","F",,,,,,,,,,,,,82,"Acelli Trim Cutter South - Motor",0,
"S","MCC18_U109_MA2C_MTR\Area","Area","F","M","*","F",,,,,,,,,,,,,82,"Utilities - Acelli Area",0,
"S","MCC18_U109_MA2C_MTR\TagName","TAG name","F","M","*","F",,,,,,,,,,,,2,82,"+MCC18=U109-MA2C",0,0
"S","MCC18_U101_MA4E_MTR\EU","Engineering Unit","F","M","*","F",,,,,,,,,,,,,82,na,0,
